Year,GDP_USD,Gov_Revenue_GDP,GDP_Growth,Inflation
2009,44292427184.9492,40.8898501467635,9.36950260277183,1.45704835970321
2010,52909294791.9262,46.8289179324149,4.78883248761557,5.72687224669605
2011,65952796427.9473,45.4813563227219,-1.5729973511111,7.8583333333334
2012,69679944504.1972,41.2739730781807,2.20293891708398,1.06621339720303
2013,74160560123.6902,40.4057956068887,5.84341590483928,2.41571745279419
2014,75239785452.1022,39.8963976405639,2.79758521448559,1.37344181533176
2015,53076235354.746,34.1837072453108,1.04954641215085,4.02768573742726
2016,37866996882.9157,34.9198678696967,-3.06359842251706,12.4433748584372
2017,40866627351.9817,35.075876697878,0.153614661745507,12.9359184187335
2018,47112470051.7701,39.416628377366,1.50040167167313,2.26854690373999
2019,48174235294.1176,42.8140744014985,2.47980879185565,2.61057182799215
2020,42693000000.0,35.0400465154089,-4.19896065333343,2.75980947008127
2021,54825411764.7059,36.518973597473,5.61644027150554,6.65029912708779
2022,78807470588.2353,38.4484212082014,4.71468033247649,13.8522590144267
2023,72428470588.2353,39.7805578193171,1.35447749115767,8.78543049849081
